Name,p_small,p_med,p_large
Chicken Nugget 10 pack Combo,$13.95,$14.48,$15
Picklebird Burger - VEGGIE - Combo,$13.95,$14.45,$14.95
Honey BBQ Rippa Roll - Combo,$13.95,$14.20,$14.45
10 Pieces Hot Honey Buttermilk Wings,$13.75,$15.85,$17.95
10 Pieces Smokey BBQ Buttermilk Wings,$13.75,$15.60,$17.45
Trop Box,$13.45,$13.70,$13.95
Chilli Aioli Rippa Roll - Combo,$13.45,$13.70,$13.95
Rooster Roll Combo,$13.45,$13.70,$13.95
Reds Burger - VEGGIE - Combo,$13.25,$15.35,$17.45
Tenders - 3 pc Combo,$13.25,$13.50,$13.75
10 Pieces Buttermilk Wings,$12.75,$14.85,$16.95
35 x Snack Sub Herb Mayo,$12.25,$12.75,$13.25
Triple Bacon & Cheese Rippa Roll,$12.25,$12.50,$12.75
15 Cheesy Nuggets,$112.50,$114.75,$117
15 Chicken Nuggets,$11.95,$12.23,$12.50
12 Cheesy Nuggets,$11.95,$12.20,$12.45
Triple Honey BBQ Rippa Roll,$11.95,$12.20,$12.45
Triple BBQ Bacon Burger,$11.90,$12.15,$12.40
Triple Picklebird Burger,$11.25,$13.00,$14.75
Chicken Pops - Large,$11.25,$11.50,$11.75
10 Buttermilk Wings,$11.25,$11.50,$11.75
Chicken Nuggets 6 pack Combo,$10.95,$12.45,$13.95
Chicken Pops - Regular Combo,$10.95,$11.45,$11.95
Triple Reds Burger,$10.95,$11.20,$11.45
Triple Spicy Burger,$10.95,$11.20,$11.45
4 Pieces Tenders,$10.25,$10.50,$10.75
Classic Meal,$10.25,$10.50,$10.75
40 Pieces Fried Chicken,$10,$12,$14.30
Sub Lovers - Small,$10,$11,$12
24 Pieces Fried Chicken,$82.95,,
25 Tenders,$63.75,,
18 Pieces Sweet & Sour Crunch,$59.95,,
18 Pieces Mixed Fried Chicken,$52.95,,
18 Pieces Original Chicken,$52.95,,
$40 Big Feast,$49.95,,
16 Pieces Fried Chicken,$49.95,,
10 x Snack Sub Honey BBQ,$40.45,,
Fried Pack,$40.45,,
Rooster Feed,$40,,
12 Pieces Mixed Fried Chicken,$37.95,,
12 Pieces Original Chicken,$37.50,,
8 Piece Sweet & Sour Crunch + Gravy + Lrg Chips,$31.95,,
Aussie Favourite,$31.95,,
$25 Burger Pack,$31.95,,
10 Tenders,$31.95,,
Rippa Deal,$30,,
$17.95 Whole Roast Chicken and Chips,$28.75,,
Chilli Aioli Rippa Box - Triple,$28.75,,
Honey BBQ Rippa Box - Triple,$27.95,,
Buttermilk Wings 10 pack Combo,$25.95,,
Reds burger box - Triple,$25,,
Spicy burger box - Triple,$21.95,,
6 Pieces Mixed Fried Chicken,$18,,
6 Pieces Original Chicken,$17.95,,
Hot Honey Satisfryer,$17.95,,
Reds Hot Satisfryer,$17.95,,
15 x Chicken Nuggets,$17.95,,
Chickmas Burger Box,$17.25,,
$14.95 Chicken & Chips,$17.25,,
Chicken Pops - Large Combo,$16.25,,
Whole Chicken,$16.25,,
6 pc Reds Hot Fried Chicken,$16.25,,
2 PC Salad Combo,$15.95,,
6 Pieces of Fried Chicken,$15.95,,
Buttermilk Wings 10 pack,$15.95,,
$12 6 pc Fried Chicken,$15.95,,
Large Caesar Salad,$15.70,,
Large Creamy Pasta Salad,$15.25,,
Large Greek Salad,$15.25,,
Large Potato Salad,$14.95,,
Large Pumpkin Couscous Salad,$14.95,,
Spicy Rippa Roll - Triple,$14.95,,
Triple Chilli Aioli Rippa Roll,$14.80,,
Triple Pickle Mayo Flayva Wrap,$14.45,,
Triple Rippa Roll,$13.95,,
Big Breaky Roll,$13.40,,
Cheesy Nuggets 6 Pack Combo,$12.25,,
Large Chicken Pops,$12,,
4 Pieces Hot Honey Fried Chicken,$11.95,,
4 Pieces Reds Hot Fried Chicken,$11.95,,
4 Pieces Fried Chicken,$11.95,,
$10 Trop Box,$11.95,,
Lrg Buttermilk Pops,$11.95,,
Bacon & Hash Brown Burger,$11.25,,
Cheesy Nuggets 10 Pack,$11.25,,
"Chicken, Bacon & Egg WRap",$11.25,,
Chickmas Burger,$11.25,,
Chilli Aioli Rippa Roll,$11.25,,
Flayva Wrap,$11.25,,
Gravy Roll,$10.95,,
Picklebird Burger,$10.95,,
Spicy Rippa Roll,$10.95,,
9 PCS Fried $9,$10.95,,
Mixed 2 pc Fried & Chips,$10.95,,
Buttermilk Wings 6 pack,$10.65,,
Kids 6 Cheesy Nuggets Meal,$10.65,,
Kids 6 Nuggets Meal,$10.30,,
Pineapple Fritter 4pc,$10,,
Large Chips & Kids Apple,$10,,
Small Chips & Apple Juice,$9.95,,
Small Chips & Kids Apple,$9.95,,
Bacon and Egg Wrap,$9.95,,
Regular Chips & 375ml Drink,$9.95,,
Family Chips,$9.25,,
Large Mash & Gravy Balls,$9.25,,
$7 Triple Reds Burger,$9.25,,
Large Chips & 600ml 7up,$9.25,,
Large Chips & 600ml Mountain Dew,$9.25,,
Large Chips & 600ml Pepsi,$9.25,,
Large Chips & 600ml Solo,$9,,
Large Chips & 600ml Sunkist,$8.95,,
Large Chips & 600ml Van Pep,$8.95,,
$6.95 Triple Chilli Aioli Rippa,$8.75,,
$6.95 Triple Honey BBQ Rippa,$8.75,,
$6.95 Triple Reds Burger,$8.75,,
12 Cheesy Nuggets Add on,$8.75,,
12 Chicken Nuggets Add on,$8.50,,
4 Pieces Fried Chicken Add on,$8.50,,
Chilli Aioli Rippa + Drink,$8.50,,
Honey BBQ Rippa + Drink,$8.45,,
Regular Caesar Salad,$8.25,,
Regular Chicken Pops,$8.25,,
Regular Creamy Pasta Salad,$8,,
Regular Greek Salad,$7.95,,
Regular Potato Salad,$7.95,,
Regular Pumpkin Couscous Salad,$7,,
Rippa + Drink,$7,,
Tenders 5pc Add on,$7,,
Original Chicken - 2 pc,$7,,
Kids 3 Nuggets Meal,$7,,
Kids Tender Meal,$7,,
1.25L 7up,$7,,
1.25L Mountain Dew,$7,,
1.25L Pepsi,$7,,
1.25L Pepsi Max,$6.95,,
1.25L Solo,$6.95,,
1.25L Sunkist,$6.95,,
12 Corn Wheels,$6.95,,
Bacon & Egg Burger,$6.95,,
Cheesy Nuggets Fueler + Drink,$6.95,,
Nuggets Fueler + Drink,$6.95,,
Cappuccino - Large,$6.95,,
Flat White - Large,$6.95,,
Hot Chocolate - Large,$6.95,,
Latte - Large,$6.95,,
Long Black - Large,$6.95,,
Mocha - Large,$6.95,,
$5 Crunch Box,$6.95,,
$5 Quarter Chicken & Chips,$6.95,,
$5 Reds Burger,$6.95,,
10 for $5 Cheesy Nuggets,$6.90,,
10 for $5 Chicken Nuggets,$6.75,,
10 for $5 Mash & Gravy Balls Add On,$6.75,,
4 for $5 Tenders,$6.50,,
6 Cheesy Garlic Bites,$5.95,,
Large Crunchy Potatoes,$5.95,,
Snack Time,$5.95,,
$4.95 Fryer Box,$5.95,,
$4.95 Reds Burger,$5.95,,
1.25L Van Pep,$5.95,,
600ml Mountain Dew,$5.95,,
600ml Pepsi,$5.95,,
600ml Pepsi Max,$5.95,,
600ml Sunkist,$5.95,,
600ml Sunkist Zero,$5.95,,
600ml Vanilla Pepsi,$5.40,,
Buttermilk Wings 3 Pack,$5.40,,
Garlic Bread,$5.40,,
Gatorade Blue Bolt,$5.40,,
Gatorade Grape,$5.40,,
Regular Mash & Gravy Balls,$5.40,,
Lipton Peach,$5.25,,
Regular Crunchy Potato,$5,,
1 Piece Original Chicken,$5,,
600ml 7up,$5,,
600ml Van Pep,$5,,
Chocolate Mousse,$5,,
Red Bull,$5,,
Strawberry Cheesecake,$5,,
Flat White - Regular,$5,,
Long Black - Regular,$5,,
Macchiato,$5,,
English BreakfastTea,$4.95,,
Green Tea,$4.95,,
Hash Brown,$4.95,,
Regular Sweet Potato,$4.95,,
$3.95 Cheesy Nuggets Fueler,$4.95,,
$3.95 Chicken Pops Fueler,$4.95,,
$3.95 Nuggets Fueler,$4.95,,
$3.95 Tender Fueler,$4.95,,
1 Piece Hot Honey Fried Chicken,$4.95,,
1 Piece Reds Hot Fried Chicken,$4.95,,
1 Piece Sweet & Sour Crunch,$4.95,,
375ml Pepsi,$4.95,,
375ml Pepsi Max,$4.95,,
375ml Solo,$4.95,,
375ml Sunkist,$4.95,,
Mayo Snack Sub,$4.95,,
Regular Chips,$4.95,,
Regular Peas,$4.95,,
375ml 7up,$4.75,,
375ml Van Pep,$4.75,,
600ml Water,$4.75,,
Hash Brown & Large Cappuccino,$4.75,,
Hash Brown & Large Flat White,$4.50,,
Hash Brown & Large Hot Chocolate,$4.50,,
Hash Brown & Large Latte,$4.50,,
Hash Brown & Large Long Black,$4.50,,
Hash Brown & Large Mocha,$4.50,,
Regular Mash & Gravy,$4.50,,
Small Chips,$4.45,,
$2.50 Chips & Gravy,$4.45,,
$2.50 Large Chips,$4.45,,
Lrg Peas,$4.45,,
Lrg Tub - Chilli Aioli,$4.45,,
Lrg Tub - Herb Mayo,$4.45,,
Lrg Tub - Whole Egg Mayo,$4.45,,
Hash Brown & Cool Ridge Water,$4.45,,
Hash Brown & English Tea,$4.45,,
Hash Brown & Espresso,$4.45,,
Hash Brown & Green Tea,$4.45,,
Hash Brown & Macchiato,$4.45,,
Hash Brown & Orange Juice,$4.40,,
Hash Brown & Regular Cappuccino,$4.40,,
Hash Brown & Regular Flat White,$4.30,,
Hash Brown & Regular Hot Chocolate,$4,,
Hash Brown & Regular Latte,$4,,
Hash Brown & Regular Long Black,$4,,
Hash Brown & Regular Mocha,$4,,
Pineapple Fritter,$4,,
Bacon,$3.95,,
